cod_lab,cod_georef,cod_escuela,espacio,escuela_o_departamento,nombre_de_laboratorio,actividad,sede ,direccion,telefono,telefono_lab,telefono_responsable,email,email,identificacion,cargo,oficina,celular,email_univalle,codigo_pruebas_y_ensayos,grupo_de_investigacion,categoria,categoria_docente,equipo_robusto,ano_de_fundacion,m2,capacidad_estudiantes,capacidad_maxima_estudiantes,hora_semana,pce,resolución_de_creación,notas,personal 
20032,349,349,2006,INGENIERIA DE MATERIALES,Laboratorio de Control Químico y Corrosión,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,3212270,,,,,,,,ruby.mejia@correounivalle.edu.co,"Docencia e Investigación: Ejecución de Prácticas de Laboratorio, Tesis de Pregrado y Posgrado, Proyectos de Investigación. 

Cementos: Análisis químico completo, Calor de Hidratación, Tamaño de Partícula, Actividad Puzolánica por método químico 
Cal viva y Cal Apagada: Análisis químico completo, Determinación de Pureza, Materia Insoluble,   
Carbonato de Calcio y de Magnesio: Análisis químico completo, Determinación de Pureza, Granulometría 
Caolines, Yesos, Arcillas, Arenas, Bentonitas, Cenizas y Escorias: Análisis químico completo 
  
 Agregados: Resistencia al ataque con sulfato de sodio o sulfato de magnesio (sanidad de agregados), Agua para mezcla de concreto, Análisis de pH, calcio, magnesio, cloruros, sulfatos, grasas y aceites, hidratos de carbono, Sólidos solubles, sólidos totales. Concretos (Durabilidad),  Profundidad de Carbo natación, Cloruros, Sulfatos, Absorción y Porosidad 
  
Aguas para concreto: Análisis de aptitud: pH, calcio, magnesio, cloruros, sulfatos, grasas y aceites e hidratos de carbono, Sólidos solubles – sólidos totales ",GRUPO MATERIALES COMPUESTOS,A UNO,Investigador Senior (IS),GRANULOMETRO LASER MASTERSIZER2000 BANCO OPTICO AWM2000 ($111.082.408),,,,,,39%,149 del 27 de noviembre de 2012,,Una laboratorista y una Profesional
20033,348,348,1003,INGENIERIA DE MATERIALES,Laboratorio de Procesos Metálicos,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,hector.sanchez@correounivalle.edu.co,,,,,,,,,,,26%,124A del 24 de septiembre de 2013,,Un Profesional provisional
20034,348,348,2008,INGENIERIA DE MATERIALES,Laboratorio de Tribología,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,yesid.aguilar@correounivalle.edu.co,"El laboratorio cuenta con: 
Equipos de pin – disco para el estudio de desgaste por deslizamiento en seco y con lubricación (Norma ASTM G99).
Equipos de rueda de caucho- abrasivo para el estudio del desgaste abrasivo a tres cuerpos (Norma ASTM G65)
Equipos de desgaste erosivo-corrosivo.
Prototipos para la evaluación de desgaste en sistemas de metal-bagazo caña-jugo caña-partículas minerales, balanzas de precisión y microscopio estereoscópico.","TRIBOLOGÍA, POLÍMEROS, METALURGIA DE POLVOS Y TRANSFORMACIONES DE RESIDUOS SÓLIDOS (TPMR) ",A UNO,Investigador Asociado (I),TRIBOMETRO MT2/60/NI ($95.787.128),,,,,,0%,124A del 24 de septiembre de 2013,,"No tiene personal, solo el  Profesor"
20035,348,348,2012,INGENIERIA DE MATERIALES,Laboratorio de Metalografía,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,yesid.aguilar@correounivalle.edu.co,"El laboratorio cuenta con equipos para la aplicación del ensayo metalográfico como lo son: 
Cortadoras de disco abrasivo
Montadora de probetas con resinas termoplásticas o termoestables
Pulidoras de paños
Microscopio óptico.",,,,,,,,,,27%,124A del 24 de septiembre de 2013,,Un Profesional provisional
20036,349,349,1005,INGENIERIA DE MATERIALES,Laboratorio de Recubrimientos Duros y Aplicaciones Industriales,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,3212122,,,,,,,,federico.sequeda@correounivalle.edu.co,"• Procesos de fabricación y caracterización de recubrimientos duros
• Espectrometría óptica de emisión para diagnóstico de plasma “durante la preparación de recubrimientos utilizando la pulverización catódica (magneton sputtering)”
• Simulación del proceso de deposición de recubrimientos duros
• Control de calidad de materiales de recubrimientos para aplicación industrial
• Aplicaciones industriales de recubrimientos duros
• Obtención de perfiles y áreas de desgaste de recubrimientos
• Obtención de nanodureza y modulo de elasticidad para medidas de nanoindentación
• Análisis tribológico de recubrimientos duros
• Potenciostato para medidas de corrosión por medio de curvas Tafel
• Detector de fallas por ultrasonido
• Equipos de corriente de eddy
• Medidos de espesor por ultrasonido",RECUBRIMIENTOS DUROS Y APLICACIONES INDUSTRIALES - RDAI,A,,"•PROFILOMETRO MODELO XP-2 ($85.060.481)
•EQUIPO NANOIDENTADOR NANOVEA SERIE 8 ($209.113.243)",,,,,,67%,040 del 8 de abril de 2014,Ganador de convocatoria 001,"No tiene personal, solo el  Profesor"
20037,347,347,1002,INGENIERIA DE MATERIALES,Laboratorio de Cerámicos y Cementos,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,fernando.perdomo@correounivalle.edu.co,,,,,,,,,,,1%,149 del 27 de noviembre de 2012,"No esta repetido, tiene resolución. Desde la Oficina se le va a enviar una carta para que la Dirección de la Escuela determine si los une.",Un laboratorista y un técnico
20038,348,348,2008,INGENIERIA DE MATERIALES,Laboratorio de Materiales Poliméricos (LAMPO),DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,fred.alban@correounivalle.edu.co,"Índice de fluidez
Resistencia a impacto, flexión y tracción
Indice de oxigeno.
Resistencia al desgaste
Temperatura de ablandamiento HDT
Identificación de fibras
Digestión de materiales lignocelulosicos
Identificación preliminar de materiales.
Humedad en pulpas papeleras.",,,,,,,,,,0%,124A del 24 de septiembre de 2013,,"No tiene personal, solo el  Profesor"
20039,349,349,1003,INGENIERIA DE MATERIALES,Laboratorio Microscopía Electrónica de Barrido,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,"EXT
2808",,,,,,,,yesid.aguilar@correounivalle.edu.co,"El laboratorio cuenta con equipos para realizar:

Recubrimientos electrolíticos de anodizado, cromado, fosfatado, cobrizado y zincado.
Recubrimientos por inmersión en caliente tales como galvanizado y galvalumen, con sistemas de limpieza a través de arena y sustancias químicos, pHmetro y equipo de corrosión en ambiente marino o cámara salina.",,,,,,,,,,54%,124A del 24 de septiembre de 2013,Ganador de convocatoria 001,Un laboratorista
20040,347,347,1005,INGENIERIA DE MATERIALES,Laboratorio Procesos Cerámicos,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,fernando.perdomo@correounivalle.edu.co,"El laboratorio cuenta con diversos equipos y procesos tales  como Ensayos Físicos y Mecánicos a materiales cerámicos y  además el procesamiento de agregados y compuestos  cerámicos, para estudios de diversos fenómenos inscritos en  las trasformaciones cerámicas. ",,,,,,,,,,27%,"149 del 27 de noviembre de 2012
040 del 8 de abril de 2014","No esta repetido, tiene resolución. Desde la Oficina se le va a enviar una carta para que la Dirección de la Escuela determine si los une.",Una Profesional
20041,349,349,2012,INGENIERIA DE MATERIALES,Laboratorio de Fluorescencia de Rayos X,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,ruby.mejia@correounivalle.edu.co,El laboratorio cuenta con un equipo de fluorescencia de rayos X y con un sistema de montaje de muestras.  ,,,,,,,,,,17%,124A del 24 de septiembre de 2013,,"No tiene personal, solo el  Profesor"
20042,349,349,no se encontro en visita de campo,INGENIERIA DE MATERIALES, Laboratorio de Caracterización  del Grupo de Materiales Compuestos,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,3212270,,,,,,,,ruby.mejia@correounivalle.edu.co,"Investigación y Docencia: Ejecución de Proyectos de Investigación,Tesis Doctorales, Tesis de Maestría y Tesis de Pregrado. Para ello el laboratorio cuenta con equipos de caracterización quimica y estructural (FTIR/ATR, TG/DSC, dilatómetro, granulómetro laser, BET, calorimetría isotérmica, equipos de Durabilidad y Corrosión (permeabilidad a cloruros, potenciostato-galvanostato, impedancia eléctrica, resistividad eléctrica, cámara de carbonatación) peachímetros, conductimetro, y otros menores de tipo complementario).",GRUPO MATERIALES COMPUESTOS,A UNO,Investigador Senior (IS),SONDA PARA CARACTERIZACION DE MATERIALES INORGANICOS ($320.991.629),,,,,,50%,040 del 8 de abril de 2014,,"No tiene personal, solo el  Profesor"
20043,347,347,1004,INGENIERIA DE MATERIALES,Laboratorio de Desarrollo de Materiales del Grupo de Materiales Compuestos,"DOCENCIA, INVESTIGACIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,ruby.mejia@correounivalle.edu.co,"Investigación y Docencia: Ejecución de Proyectos de Investigación,Tesis Doctorales, Tesis de Maestría y Tesis de Pregrado. Para ello el laboratorio cuenta con equipos de: (1) Tratamientos térmicos (cámaras de control climático, estufas y hornos); (2) Tratamientos Mecánicos (molino de bolas, molino de atrición y molino de martillos); (3) Producción de materiales (balanzas, mezcladoras, moldes, etc) así como (4) Caracterización fisicomecánica de materiales (prensa universal de ensayos mecánicos Instron, mesa de fluidez, viscosímetro Broockfield, tiempos de fraguado, finura Blaine, contenido de aire, entre otros). ",,,,,,,,,,0%,,No tiene Resolución.,"No tiene personal, solo el  Profesor"
20044,x,x,x no estan en el inicial,INGENIERIA MECANICA,Laboratorio de Caracterización de Materiales (Antes  Análisis de Falla),"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,3212133,,,,,,,,john.coronado@correounivalle.edu.co,"Metalografía
Fractografía
Dureza Brinell
Medición de rugosidad
Análisis de falla
Ensayos de desgaste por deslizamiento tipo anillo-bloque
Ensayos de desgaste erosivo tipo slurry
Ensayos de desgaste abrasivo a tres cuerpos tipo rueda de caucho",GRUPO DE INVESTIGACION EN FATIGAS Y SUPERFICIES,A UNO,Investigador Asociado (I),,,,,,,27%,"149 del 27 de noviembre de 2012
040 del 8 de abril de 2014","Ganador de convocatoria 001, Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20046,345,345,1000,INGENIERIA MECANICA,Laboratorio de Mecánica de Materiales,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jairo.valdez@correounivalle.edu.co,"El Laboratorio de Mecánica de materiales presta los siguientes servicios:
Módulo didáctico de ensayos de torsión
Máquina para ensayos de fatiga por flexión rotativa
Módulo didáctico de vibraciones
Módulo didáctico de vigas curvas
Módulo didáctico de flexión
Módulo didáctico de cilindros de pared gruesa
Módulo didáctico de membranas
Módulo didáctico de fotoelasticidad
Módulo didáctico de termofluencia
Análisis de esfuerzos y deformaciones",,,,,,,,,,22%,149 del 27 de noviembre de 2012            124A del 24 de septiembre de 2013,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20047,345,345,2001,INGENIERIA MECANICA,Laboratorio de Metrología,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,argemiro.collazos@correounivalle.edu.co,"• Medición de rugosidad superficial
• Mediciones en roscas (todas las posibilidades)
• Herramientas de corte de distinta forma
• Comparación de perfiles sobre dibujos
• Dibujo de perfiles proyectados
• Examen visual de superficies y bordes de corte
• Verificación del centraje de piezas con respecto a su eje
• Mediciones de concentricidad en cilindros,conos, ruedas rectas de dentado interior y exterior, ruedas cónicas y helicoidales, fresas helicoidales
• Control dimensional de piezas de formas
• Medición en coordenadas polares, cartesianas y de ángulos de herramientas de corte",,,,,,,,,,16%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12. Lab. de dicencia y de extencion, no es de investigacion",No tiene personal. Solo el profesor
20048,340,340,2017,INGENIERIA MECANICA,Laboratorio de Transferencia de Calor y Refrigeración,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,miguel.rosillo@correounivalle.edu.co,"PREGRADO                                                                                                                                                                               * Laboratorio de ingeniería mecánica II      780064M
* Termodinamica I      780071M                           
ELECTIVAS DE PREGRADO Y POSGRADO
*Refrigeracion y climatizacion 780081M ",,,,,1975,"208,2",15,30,15,18%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12
Se cambio el nombre y se fuisiono con otro laboratorio por la Resolución 151, del 6 de Septiembre de 2016",No tiene personal. Solo el profesor
20049,x,x,x no estan en el inicial,INGENIERIA MECANICA,,,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,,,,,,,,,,,,18%,,,
20050,x,x,x no estan en el inicial,INGENIERIA MECANICA,Laboratorio de Aprovechamiento de Energías Alternativas,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,martin.moreno@correounivalle.edu.co,"Evaluación y calibración de celdas fotovoltaicas
Eficiencia de sistemas fotovoltaicos
Eficiencia cuantica de celdas fotovoltaicas
Calibración de celdas para convertirlas en radiómetros
Evaluación de paneles solares térmicos
Eficiencia de sistemas de paneles solares térmicos
Eficiencia cuántica de paneles solares térmicos
Desarrollo de biocombustibles
Ensayo de celdas de hidrogeno
Desarrollo conceptual de Sistemas Renovables de Energía para Comunidades Vulnerables.",DESARROLLO Y DIFUSIÓN DE TECNOLOGÍAS ALTERNATIVAS,REGISTRADO,,,,,,,,15%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20051,x,x,x no estan en el inicial,INGENIERIA MECANICA,Laboratorio de Aprovechamiento de Energías Alternativas,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,martin.moreno@correounivalle.edu.co,"Evaluación y calibración de celdas fotovoltaicas
Eficiencia de sistemas fotovoltaicos
Eficiencia cuantica de celdas fotovoltaicas
Calibración de celdas para convertirlas en radiómetros
Evaluación de paneles solares térmicos
Eficiencia de sistemas de paneles solares térmicos
Eficiencia cuántica de paneles solares térmicos
Desarrollo de biocombustibles
Ensayo de celdas de hidrogeno
Desarrollo conceptual de Sistemas Renovables de Energía para Comunidades Vulnerables.",DESARROLLO Y DIFUSIÓN DE TECNOLOGÍAS ALTERNATIVAS,REGISTRADO,,,,,,,,15%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20052,x,x,x no estan en el inicial,INGENIERIA MECANICA,Laboratorio de Diseño Mecánico y Mecanismos,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,martin.moreno@correounivalle.edu.co,"Calculo de componentes mecánicos
Calculo de sistemas de ecuaciones algebraicas y diferenciales
Modelamiento cinemático y dinámico de mecanismos
Modelamiento de procesos termicos en estado estable
Creación de partes, ensambles y planos mecánicos mediante herramientas CAD
Calculo de tolerancias
Análisis de interferencias en ensambles
Calculo de elementos de máquinas estandar
Simulacion de circuitos mecatrónicos
Simulación de procesos de automatización",,,,,,,,,,10%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20053,x,x,x no estan en el inicial,INGENIERIA MECANICA,Laboratorio de Diseño Mecánico y Mecanismos,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,martin.moreno@correounivalle.edu.co,"Calculo de componentes mecánicos
Calculo de sistemas de ecuaciones algebraicas y diferenciales
Modelamiento cinemático y dinámico de mecanismos
Modelamiento de procesos termicos en estado estable
Creación de partes, ensambles y planos mecánicos mediante herramientas CAD
Calculo de tolerancias
Análisis de interferencias en ensambles
Calculo de elementos de máquinas estandar
Simulacion de circuitos mecatrónicos
Simulación de procesos de automatización",,,,,,,,,,10%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20054,x,x,x no estan en el inicial,INGENIERIA MECANICA,Laboratorio de Manufactura Asistida por Computador,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,arleyton@gmail.com,"Está dedicado específicamente a:

Docencia: Puede dar soporte a los cursos Procesos de manufactura, Manufactura asistida por computador, Tecnología mecánica, Taller de máquinas-herramientas,  así como también a cursos de otras unidades previa solicitud.

Investigación: Se desarrollan en este laboratorio investigaciones en la línea de procesos de manufactura (análisis de fuerzas de corte en mecanizado, desgaste de herramientas, simulación y optimización de procesos de mecanizado) y se realizan pruebas específicas para investigaciones de otras áreas.

Extensión: Se realizan actividades de maquinado de probetas y dispositivos para otras escuelas.",,,,,,,,,,21%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20055,345,345,1000,INGENIERIA MECANICA,Laboratorio de Procesos de Manufactura,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,john.coronado@correounivalle.edu.co,"Fresado
Torneado
Taladrado convencional
Rectificado
Corte
Soldadura eléctrica de arco
Soldadura MIG
Soldadura por fricción",,,,,,,,,,21%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20056,x,x,x no estan en el inicial,INGENIERIA MECANICA,Laboratorio de Motores de Combustión Interna,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,martin.moreno@correounivalle.edu.co,"Evaluación del Desempeño de Motores de Combustión Interna usando diferentes tipos de combustible.
Evaluación de emisiones con método opacímetro para motores tipo Diesel.
Análisis de sistema de tratamiento de humos de combustión (catalizadores - filtros de partículas) a diferentes tipos de combustible.
Análisis de potencia y emisiones en motores de motocicletas.",,,,,,,,,,16%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20057,345,345,2004,INGENIERIA MECANICA,Laboratorio de Tribología  ,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,sara.rodriguez@correounivalle.edu.co,,,,,,,,,,,6%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20058,351,351,2005,INGENIERIA MECANICA,Laboratorio de Vibraciones y Acústica,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,3212133,,,,,,,,joao.ealo@correounivalle.edu.co,"Diseño, fabricación, modelado y caracterización electro-mecánico-acústica de nuevos transductores Caracterización de materiales y extracción de propiedades empleando ultrasonidos Modelado computacional de fenómenos vibro-acústicos
Ultrasonidos acoplados en aire - Generación de campos acústicos especiales (vórtices) 
Interacción acústica-estructura
Interacción hombre-computador sin contacto empleando ultrasonidos
Emisión acústica para la caracterización de procesos/fenómenos
Análisis modal de estructuras y componentes mecánicos
Análisis dinámico de maquinaria.",,,,,2010,63,,,,27%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12","Laboratorio de investigación, tiene Tesistas"
20059,340,340,2019,INGENIERIA MECANICA,Laboratorio de Mecatrónica,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jose.i.garcia@correounivalle.edu.co,"Especificación de arquitectura de sistemas mecatrónicos.
Definición de técnicas de modelado de sistemas mecatrónicos.
Prácticas de laboratorio que permiten fortalecer competencias en el área de mecatrónica.",,,,,,,,,,36%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20061,351,351,1003,INGENIERIA MECANICA,Laboratorio de Simulación Avanzada,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,martin.moreno@correounivalle.edu.co,,,,,,,,,,,10%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20062,351,351,1002,INGENIERIA MECANICA,Laboratorio de Ensayos Dinámicos y Materiales Fibroreforzados,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,gonzalo.casanova@correounivalle.edu.co,"ASTM E8: Ensayo de ténsion de materiales métalicos (Tension testing of metallic materials E8/E8M/09).
ASTM E466:Ensayo de Materiales Métalicos sometidos a Fatiga Axial con Fuerza Controlada de Amplitud Constante (Force controlled constant amplitud axial fatigue testing of metallic materials).
ASTM D7791: Método de prueba estándar para propiedades de fatiga uniaxial de plásticos (Estándar Test Method for uniaxial fatigue properties of plastics).
ASTM F1541: Especificación Estándar de los Metodos de ensayo para Dispositivos Externos de Fijación del sistema Óseo (standard specification and Test methods for external Skeletal Fixation Devices).
ASTM 1290: Método estandar para medición de la tenacidad de fractura por el método de desplazamiento de la punta de la fisura (CTOD) (Standard Test Method for Crack- Tip opening Displacement (CTOD) fracture Toughness Measurement).",GRUPO DE INVESTIGACION EN MEJORAMIENTO INDUSTRIAL,B,Investigador Asociado (I),,,,,,,37%,149 del 27 de noviembre de 2012,"Ganador de convocatoria 001, Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12","Laboratorio de investigación, tiene Tesistas"
20063,x,x,x,INGENIERIA MECANICA,Laboratorio de Neumática y Electroneumática,DOCENCIA Y EXTENSIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jose.i.garcia@correounivalle.edu.co,,,,,,,,,,,36%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20064,340,340,2018,INGENIERIA MECANICA,Laboratorio de Mecánica de Fluidos,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,alexander.ladino@correounivalle.edu.co,,,,,,,,,,,15%,149 del 27 de noviembre de 2012,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20065,x,x,x,INGENIERIA MECANICA,Laboratorio de Plantas Térmicas,,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,martin.moreno@correounivalle.edu.co,,,,,,,,,,,16%,124A del 24 de septiembre de 2013,"Solocitaron fomalmente cambiar resoluciones de los laboratorios, se reduce número de laboratorios de 18 a 12",No tiene personal. Solo el profesor
20066,x,x,x,INGENIERIA QUIMICA,Laboratorio de Investigación de Procesos Químicos y Biológicos,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,3212335,,,,,,,,juanbarraza@correounivalle.edu.co,"Área de Catalisis: Utilizan como materia primaL levadura, bacterias, microorganismos, microalgas, residuos agroidustriales, plantas o parte de ellas para la producciòn de alcohol, biomasa para alimento animal, pigmentos, proteìnas, lìpidos, biodiesel, abonos, fertilizantes, carbòn activado  mediante proceso de Fermentaciòn, Extracciòn, Cultivo, Deslignificaciòn e hidròlisis.

Área de Biocombustibles:Utilizan Residuos Agroindustriales, Tintas, Pesticidas, Antibioticos Humanos para tratamientos finales aplicando Procesos Avanzados de Oxidaciòn como Ozonizaciòn, Fotoreducciòn, electrodisoluciòn, entre otros.",CIENCIA Y TECNOLOGIA DEL CARBON,B,,MODULO DIDACTICO PARA CONTROL DE PROCESOS REF. 001 ($105.355.280),,,,,,1%,040 del 8 de abril de 2014,"Este laboratorio tiene cuatro areas: Carbones, Catálisis,  Biocombustibles y Nanomateriales. Hay un docente y un investigador encargado por área. Hay un monitor de calidad con media jormada para la implementación","No tiene personal, solo los  Profesores"
20067,334,334,,INGENIERIA QUIMICA,Laboratorio de Termodinámica Aplicada y Fluidos Supercríticos,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,gustavo.bolanos@correounivalle.edu.co,"• Estudios de factibilidad técnica y económica de extracción de productos naturales con valor agregado: aceites esenciales, aromas, antioxidantes
• Estudios sobre desarrollo de productos oleoquímicos
• Producción de microencapsulados con actividad biológica",TERMODINAMICA APLICADA,A,Investigador Asociado (I),"•BOMBA CUATERNARIA VL 1260 ($102.020.439)
•MODULO BASICO DE REACTORES QUIMICOS ($109.045.143) ",,,,,,10%,,No tienen resloción. Han avanzado y van a contratar un monitor para implementar el PCE y obtener la resolución.,"No tiene personal, solo el  Profesor"
20068,334,334,,INGENIERIA QUIMICA,Laboratorio de Análisis Instrumental,EXTENSIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,,,,,,,,,,,,0%,,Laboratorio que esta trabajando en acreditación,Dos profesionales contratistas
20069,336,336,2010,INGENIERIA QUIMICA,Laboratorio de  Docencia e Investigación,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,"3312935
EXT 2233",,,,,,,,gloria.lasso@correounivalle.edu.co,"Análisis de muestras por espectroscopia de Absorción atómica.
Toma de espectros de Infrarojo.
Determinación de Potencial Z
Ensayos de liofilización",,,,,,,,,,76%,149 del 27 de noviembre de 2012,"Ganador de convocatoria 001. Cambiaron solo ha docencia, falta  oficializar desde la Dirección.","Un laboratorista, una profesional nombrada y una profesional provisional"
20070,350,350,,INGENIERIA CIVIL Y GEOMATICA,Laboratorio de Estructuras,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,carlos.madera@correounivalle.edu.co,"Carga
Estructuras
Tracción: Alambres, Varillas, Platinas, Madera (probetas estándar), Cadenas, Ganchos, Cables, Agarraderas de clibes, Grapas galvanizadas, Perchas galvanizadas, Cualquier elemento con agarres.
Compresión: Madera (probeta estándar), Bloques, Hormigón (probeta estándar ), Núcleos de hormigón, Vigas con longitud de hasta 50 centímetros, Tubos con diámetro de hasta 12 pulgadas.
Flexión: Madera (probeta estándar), Bloques, Vigas con longitud de hasta 3 metros Cortante, Varillas con diámetro de hasta 1 pulgada, Madera (probeta estándar)Dureza, Madera (probeta estándar) Desgarramiento, Madera (probeta estándar) Embutición, Madera (probeta estándar).
Fatiga: Alambres, Varillas, Platinas, Núcleos de hormigón Impacto, Material en probeta estándar.",,,,,,,,,,34%,003A del 25 de enero de 2011,Ganador de convocatoria 001,1 laboratorista
